ID,Organisation,Country,Latitude,Longitude
244,SpaceX,USA,37.09024,-95.712891
245,CASC,China,35.86166,104.195397
246,ULA,USA,37.09024,-95.712891
247,CASC,China,35.86166,104.195397
248,Blue Origin,USA,37.09024,-95.712891
249,CASC,China,35.86166,104.195397
250,Eurockot,Russia,61.52401,105.318756
251,SpaceX,USA,37.09024,-95.712891
252,VKS RF,Kazakhstan,48.019573,66.923684
253,ULA,USA,37.09024,-95.712891
254,ISRO,India,20.593684,78.96288
255,CASC,China,35.86166,104.195397
256,Arianespace,France,46.227638,2.213749
257,SpaceX,USA,37.09024,-95.712891
258,CASC,China,35.86166,104.195397
259,SpaceX,USA,37.09024,-95.712891
260,CASC,China,35.86166,104.195397
261,Roscosmos,Russia,61.52401,105.318756
262,ISRO,India,20.593684,78.96288
263,Roscosmos,Kazakhstan,48.019573,66.923684
264,CASC,China,35.86166,104.195397
265,Arianespace,France,46.227638,2.213749
266,SpaceX,USA,37.09024,-95.712891
267,ULA,USA,37.09024,-95.712891
268,MHI,Japan,36.204824,138.252924
269,SpaceX,USA,37.09024,-95.712891
270,Roscosmos,Kazakhstan,48.019573,66.923684
271,CASC,China,35.86166,104.195397
272,SpaceX,USA,37.09024,-95.712891
273,JAXA,Japan,36.204824,138.252924
274,CASC,China,35.86166,104.195397
275,Roscosmos,Russia,61.52401,105.318756
276,SpaceX,USA,37.09024,-95.712891
277,Arianespace,France,46.227638,2.213749
278,CASC,China,35.86166,104.195397
279,Rocket Lab,New Zealand,-40.900557,174.885971
280,ULA,USA,37.09024,-95.712891
281,CASC,China,35.86166,104.195397
282,JAXA,Japan,36.204824,138.252924
283,CASC,China,35.86166,104.195397
284,ULA,USA,37.09024,-95.712891
285,ISRO,India,20.593684,78.96288
286,CASC,China,35.86166,104.195397
287,CASC,China,35.86166,104.195397
288,SpaceX,USA,37.09024,-95.712891
289,Land Launch,Kazakhstan,48.019573,66.923684
290,CASC,China,35.86166,104.195397
291,CASC,China,35.86166,104.195397
292,SpaceX,USA,37.09024,-95.712891
293,MHI,Japan,36.204824,138.252924
294,Roscosmos,Kazakhstan,48.019573,66.923684
295,Blue Origin,USA,37.09024,-95.712891
296,SpaceX,USA,37.09024,-95.712891
297,Arianespace,France,46.227638,2.213749
298,CASC,China,35.86166,104.195397
299,CASC,China,35.86166,104.195397
300,VKS RF,Russia,61.52401,105.318756
301,Roscosmos,Russia,61.52401,105.318756
302,CASC,China,35.86166,104.195397
303,CASC,China,35.86166,104.195397
304,ULA,USA,37.09024,-95.712891
305,CASC,China,35.86166,104.195397
306,Northrop,USA,37.09024,-95.712891
307,Arianespace,France,46.227638,2.213749
308,CASC,China,35.86166,104.195397
309,Northrop,USA,37.09024,-95.712891
310,SpaceX,USA,37.09024,-95.712891
311,ULA,USA,37.09024,-95.712891
312,Roscosmos,Kazakhstan,48.019573,66.923684
313,Eurockot,Russia,61.52401,105.318756
314,SpaceX,USA,37.09024,-95.712891
315,MHI,Japan,36.204824,138.252924
316,SpaceX,USA,37.09024,-95.712891
317,CASC,China,35.86166,104.195397
318,Arianespace,France,46.227638,2.213749
319,CASC,China,35.86166,104.195397
320,VKS RF,Kazakhstan,48.019573,66.923684
321,ULA,USA,37.09024,-95.712891
322,ILS,Kazakhstan,48.019573,66.923684
323,SpaceX,USA,37.09024,-95.712891
324,ISRO,India,20.593684,78.96288
325,Northrop,USA,37.09024,-95.712891
326,SpaceX,USA,37.09024,-95.712891
327,VKS RF,Russia,61.52401,105.318756
328,MHI,Japan,36.204824,138.252924
329,ULA,USA,37.09024,-95.712891
330,VKS RF,Kazakhstan,48.019573,66.923684
331,SpaceX,USA,37.09024,-95.712891
332,Roscosmos,Kazakhstan,48.019573,66.923684
333,Arianespace,France,46.227638,2.213749
334,Roscosmos,Kazakhstan,48.019573,66.923684
335,ISA,Iran,32.427908,53.688046
336,Roscosmos,Kazakhstan,48.019573,66.923684
337,SpaceX,USA,37.09024,-95.712891
338,CASC,China,35.86166,104.195397
