ID,Organisation,Country,Latitude,Longitude,Year
332,Roscosmos,Kazakhstan,48.019573,66.923684,2017
333,Arianespace,France,46.227638,2.213749,2017
334,Roscosmos,Kazakhstan,48.019573,66.923684,2017
335,ISA,Iran,32.427908,53.688046,2017
336,Roscosmos,Kazakhstan,48.019573,66.923684,2017
337,SpaceX,USA,37.09024,-95.712891,2017
338,CASC,China,35.86166,104.195397,2017
339,Arianespace,France,46.227638,2.213749,2017
340,SpaceX,USA,37.09024,-95.712891,2017
341,SpaceX,USA,37.09024,-95.712891,2017
342,VKS RF,Russia,61.52401,105.318756,2017
343,ISRO,India,20.593684,78.96288,2017
344,CASC,China,35.86166,104.195397,2017
345,CASC,China,35.86166,104.195397,2017
346,Roscosmos,Kazakhstan,48.019573,66.923684,2017
347,ILS,Kazakhstan,48.019573,66.923684,2017
348,ISRO,India,20.593684,78.96288,2017
349,SpaceX,USA,37.09024,-95.712891,2017
350,Arianespace,France,46.227638,2.213749,2017
351,MHI,Japan,36.204824,138.252924,2017
352,VKS RF,Russia,61.52401,105.318756,2017
353,Rocket Lab,New Zealand,-40.900557,174.885971,2017
354,Arianespace,France,46.227638,2.213749,2017
355,SpaceX,USA,37.09024,-95.712891,2017
356,ISRO,India,20.593684,78.96288,2017
357,Arianespace,France,46.227638,2.213749,2017
358,SpaceX,USA,37.09024,-95.712891,2017
359,CASC,China,35.86166,104.195397,2017
360,Roscosmos,Kazakhstan,48.019573,66.923684,2017
361,ULA,USA,37.09024,-95.712891,2017
362,CASC,China,35.86166,104.195397,2017
363,SpaceX,USA,37.09024,-95.712891,2017
364,ULA,USA,37.09024,-95.712891,2017
365,MHI,Japan,36.204824,138.252924,2017
366,SpaceX,USA,37.09024,-95.712891,2017
367,Arianespace,France,46.227638,2.213749,2017
368,CASIC,China,35.86166,104.195397,2017
369,ULA,USA,37.09024,-95.712891,2017
370,Roscosmos,Kazakhstan,48.019573,66.923684,2017
371,SpaceX,USA,37.09024,-95.712891,2017
372,ISRO,India,20.593684,78.96288,2017
373,Arianespace,France,46.227638,2.213749,2017
374,Arianespace,France,46.227638,2.213749,2017
375,MHI,Japan,36.204824,138.252924,2017
376,ULA,USA,37.09024,-95.712891,2017
377,JAXA,Japan,36.204824,138.252924,2017
378,SpaceX,USA,37.09024,-95.712891,2017
379,ExPace,China,35.86166,104.195397,2017
380,CASC,China,35.86166,104.195397,2017
381,CASC,China,35.86166,104.195397,2016
382,Arianespace,France,46.227638,2.213749,2016
383,CASC,China,35.86166,104.195397,2016
384,JAXA,Japan,36.204824,138.252924,2016
385,ULA,USA,37.09024,-95.712891,2016
386,Northrop,USA,37.09024,-95.712891,2016
387,CASC,China,35.86166,104.195397,2016
388,MHI,Japan,36.204824,138.252924,2016
389,ULA,USA,37.09024,-95.712891,2016
390,ISRO,India,20.593684,78.96288,2016
391,Arianespace,France,46.227638,2.213749,2016
392,Roscosmos,Kazakhstan,48.019573,66.923684,2016
393,CASC,China,35.86166,104.195397,2016
394,ULA,USA,37.09024,-95.712891,2016
395,Roscosmos,Kazakhstan,48.019573,66.923684,2016
396,Arianespace,France,46.227638,2.213749,2016
397,CASC,China,35.86166,104.195397,2016
398,ULA,USA,37.09024,-95.712891,2016
399,CASC,China,35.86166,104.195397,2016
400,CASC,China,35.86166,104.195397,2016
401,MHI,Japan,36.204824,138.252924,2016
402,Roscosmos,Kazakhstan,48.019573,66.923684,2016
403,Northrop,USA,37.09024,-95.712891,2016
404,CASC,China,35.86166,104.195397,2016
405,Blue Origin,USA,37.09024,-95.712891,2016
406,Arianespace,France,46.227638,2.213749,2016
407,ISRO,India,20.593684,78.96288,2016
408,Arianespace,France,46.227638,2.213749,2016
409,CASC,China,35.86166,104.195397,2016
410,IAI,Israel,31.046051,34.851612,2016
411,ULA,USA,37.09024,-95.712891,2016
412,ISRO,India,20.593684,78.96288,2016
413,SpaceX,USA,37.09024,-95.712891,2016
414,CASC,China,35.86166,104.195397,2016
415,Arianespace,France,46.227638,2.213749,2016
416,ULA,USA,37.09024,-95.712891,2016
417,CASC,China,35.86166,104.195397,2016
418,SpaceX,USA,37.09024,-95.712891,2016
419,CASC,China,35.86166,104.195397,2016
420,CASC,China,35.86166,104.195397,2016
421,ULA,USA,37.09024,-95.712891,2016
422,SpaceX,USA,37.09024,-95.712891,2016
423,Roscosmos,Kazakhstan,48.019573,66.923684,2016
424,Roscosmos,Kazakhstan,48.019573,66.923684,2016
425,CASC,China,35.86166,104.195397,2016
426,CASC,China,35.86166,104.195397,2016
427,ULA,USA,37.09024,-95.712891,2016
428,ISRO,India,20.593684,78.96288,2016
429,Blue Origin,USA,37.09024,-95.712891,2016
