ID,Organisation,Country,Latitude,Longitude,Year,Status Mission
195,ISRO,India,20.593684,78.96288,2018,Success
196,Rocket Lab,New Zealand,-40.900557,174.885971,2018,Success
197,Arianespace,France,46.227638,2.213749,2018,Success
198,VKS RF,Russia,61.52401,105.318756,2018,Success
199,CASC,China,35.86166,104.195397,2018,Success
200,MHI,Japan,36.204824,138.252924,2018,Success
201,CASC,China,35.86166,104.195397,2018,Success
202,Landspace,China,35.86166,104.195397,2018,Failure
203,Roscosmos,Russia,61.52401,105.318756,2018,Success
204,CASC,China,35.86166,104.195397,2018,Success
205,Arianespace,France,46.227638,2.213749,2018,Success
206,ULA,USA,37.09024,-95.712891,2018,Success
207,CASC,China,35.86166,104.195397,2018,Success
208,Roscosmos,Kazakhstan,48.019573,66.923684,2018,Failure
209,CASC,China,35.86166,104.195397,2018,Success
210,SpaceX,USA,37.09024,-95.712891,2018,Success
211,ExPace,China,35.86166,104.195397,2018,Success
212,Arianespace,France,46.227638,2.213749,2018,Success
213,MHI,Japan,36.204824,138.252924,2018,Success
214,CASC,China,35.86166,104.195397,2018,Success
215,ISRO,India,20.593684,78.96288,2018,Success
216,ULA,USA,37.09024,-95.712891,2018,Success
217,SpaceX,USA,37.09024,-95.712891,2018,Success
218,CASC,China,35.86166,104.195397,2018,Success
219,Exos,New Mexico,,,2018,Partial Failure
220,CASC,China,35.86166,104.195397,2018,Success
221,Arianespace,France,46.227638,2.213749,2018,Success
222,ULA,USA,37.09024,-95.712891,2018,Success
223,SpaceX,USA,37.09024,-95.712891,2018,Success
224,CASC,China,35.86166,104.195397,2018,Success
225,CASC,China,35.86166,104.195397,2018,Success
226,SpaceX,USA,37.09024,-95.712891,2018,Success
227,Arianespace,France,46.227638,2.213749,2018,Success
228,SpaceX,USA,37.09024,-95.712891,2018,Success
229,Blue Origin,USA,37.09024,-95.712891,2018,Success
230,Roscosmos,Kazakhstan,48.019573,66.923684,2018,Success
231,CASC,China,35.86166,104.195397,2018,Success
232,CASC,China,35.86166,104.195397,2018,Success
233,SpaceX,USA,37.09024,-95.712891,2018,Success
234,CASC,China,35.86166,104.195397,2018,Success
235,VKS RF,Russia,61.52401,105.318756,2018,Success
236,MHI,Japan,36.204824,138.252924,2018,Success
237,Roscosmos,Kazakhstan,48.019573,66.923684,2018,Success
238,CASC,China,35.86166,104.195397,2018,Success
239,SpaceX,USA,37.09024,-95.712891,2018,Success
240,CASC,China,35.86166,104.195397,2018,Success
241,SpaceX,USA,37.09024,-95.712891,2018,Success
242,Northrop,USA,37.09024,-95.712891,2018,Success
243,CASC,China,35.86166,104.195397,2018,Success
244,SpaceX,USA,37.09024,-95.712891,2018,Success
245,CASC,China,35.86166,104.195397,2018,Success
246,ULA,USA,37.09024,-95.712891,2018,Success
247,CASC,China,35.86166,104.195397,2018,Success
248,Blue Origin,USA,37.09024,-95.712891,2018,Success
249,CASC,China,35.86166,104.195397,2018,Success
250,Eurockot,Russia,61.52401,105.318756,2018,Success
251,SpaceX,USA,37.09024,-95.712891,2018,Success
252,VKS RF,Kazakhstan,48.019573,66.923684,2018,Success
253,ULA,USA,37.09024,-95.712891,2018,Success
254,ISRO,India,20.593684,78.96288,2018,Success
255,CASC,China,35.86166,104.195397,2018,Success
256,Arianespace,France,46.227638,2.213749,2018,Success
257,SpaceX,USA,37.09024,-95.712891,2018,Success
258,CASC,China,35.86166,104.195397,2018,Success
259,SpaceX,USA,37.09024,-95.712891,2018,Success
260,CASC,China,35.86166,104.195397,2018,Success
261,Roscosmos,Russia,61.52401,105.318756,2018,Success
262,ISRO,India,20.593684,78.96288,2018,Success
263,Roscosmos,Kazakhstan,48.019573,66.923684,2018,Success
264,CASC,China,35.86166,104.195397,2018,Success
265,Arianespace,France,46.227638,2.213749,2018,Success
266,SpaceX,USA,37.09024,-95.712891,2018,Success
267,ULA,USA,37.09024,-95.712891,2018,Success
268,MHI,Japan,36.204824,138.252924,2018,Success
269,SpaceX,USA,37.09024,-95.712891,2018,Success
270,Roscosmos,Kazakhstan,48.019573,66.923684,2018,Success
271,CASC,China,35.86166,104.195397,2018,Success
272,SpaceX,USA,37.09024,-95.712891,2018,Success
273,JAXA,Japan,36.204824,138.252924,2018,Success
274,CASC,China,35.86166,104.195397,2018,Success
275,Roscosmos,Russia,61.52401,105.318756,2018,Success
276,SpaceX,USA,37.09024,-95.712891,2018,Success
277,Arianespace,France,46.227638,2.213749,2018,Partial Failure
278,CASC,China,35.86166,104.195397,2018,Success
279,Rocket Lab,New Zealand,-40.900557,174.885971,2018,Success
280,ULA,USA,37.09024,-95.712891,2018,Success
281,CASC,China,35.86166,104.195397,2018,Success
282,JAXA,Japan,36.204824,138.252924,2018,Success
283,CASC,China,35.86166,104.195397,2018,Success
284,ULA,USA,37.09024,-95.712891,2018,Success
285,ISRO,India,20.593684,78.96288,2018,Success
286,CASC,China,35.86166,104.195397,2018,Success
287,CASC,China,35.86166,104.195397,2018,Success
288,SpaceX,USA,37.09024,-95.712891,2018,Success
289,Land Launch,Kazakhstan,48.019573,66.923684,2017,Success
290,CASC,China,35.86166,104.195397,2017,Success
291,CASC,China,35.86166,104.195397,2017,Success
292,SpaceX,USA,37.09024,-95.712891,2017,Success
293,MHI,Japan,36.204824,138.252924,2017,Success
294,Roscosmos,Kazakhstan,48.019573,66.923684,2017,Success
295,Blue Origin,USA,37.09024,-95.712891,2017,Success
296,SpaceX,USA,37.09024,-95.712891,2017,Success
297,Arianespace,France,46.227638,2.213749,2017,Success
298,CASC,China,35.86166,104.195397,2017,Success
299,CASC,China,35.86166,104.195397,2017,Success
300,VKS RF,Russia,61.52401,105.318756,2017,Success
301,Roscosmos,Russia,61.52401,105.318756,2017,Failure
302,CASC,China,35.86166,104.195397,2017,Success
303,CASC,China,35.86166,104.195397,2017,Success
304,ULA,USA,37.09024,-95.712891,2017,Success
305,CASC,China,35.86166,104.195397,2017,Success
306,Northrop,USA,37.09024,-95.712891,2017,Success
307,Arianespace,France,46.227638,2.213749,2017,Success
308,CASC,China,35.86166,104.195397,2017,Success
309,Northrop,USA,37.09024,-95.712891,2017,Success
310,SpaceX,USA,37.09024,-95.712891,2017,Success
311,ULA,USA,37.09024,-95.712891,2017,Success
312,Roscosmos,Kazakhstan,48.019573,66.923684,2017,Success
313,Eurockot,Russia,61.52401,105.318756,2017,Success
314,SpaceX,USA,37.09024,-95.712891,2017,Success
315,MHI,Japan,36.204824,138.252924,2017,Success
316,SpaceX,USA,37.09024,-95.712891,2017,Success
317,CASC,China,35.86166,104.195397,2017,Success
318,Arianespace,France,46.227638,2.213749,2017,Success
319,CASC,China,35.86166,104.195397,2017,Success
320,VKS RF,Kazakhstan,48.019573,66.923684,2017,Success
321,ULA,USA,37.09024,-95.712891,2017,Success
322,ILS,Kazakhstan,48.019573,66.923684,2017,Success
323,SpaceX,USA,37.09024,-95.712891,2017,Success
324,ISRO,India,20.593684,78.96288,2017,Failure
325,Northrop,USA,37.09024,-95.712891,2017,Success
326,SpaceX,USA,37.09024,-95.712891,2017,Success
327,VKS RF,Russia,61.52401,105.318756,2017,Success
328,MHI,Japan,36.204824,138.252924,2017,Success
329,ULA,USA,37.09024,-95.712891,2017,Success
330,VKS RF,Kazakhstan,48.019573,66.923684,2017,Success
331,SpaceX,USA,37.09024,-95.712891,2017,Success
332,Roscosmos,Kazakhstan,48.019573,66.923684,2017,Success
333,Arianespace,France,46.227638,2.213749,2017,Success
334,Roscosmos,Kazakhstan,48.019573,66.923684,2017,Success
335,ISA,Iran,32.427908,53.688046,2017,Failure
336,Roscosmos,Kazakhstan,48.019573,66.923684,2017,Partial Failure
337,SpaceX,USA,37.09024,-95.712891,2017,Success
338,CASC,China,35.86166,104.195397,2017,Failure
339,Arianespace,France,46.227638,2.213749,2017,Success
340,SpaceX,USA,37.09024,-95.712891,2017,Success
341,SpaceX,USA,37.09024,-95.712891,2017,Success
342,VKS RF,Russia,61.52401,105.318756,2017,Success
343,ISRO,India,20.593684,78.96288,2017,Success
344,CASC,China,35.86166,104.195397,2017,Partial Failure
345,CASC,China,35.86166,104.195397,2017,Success
346,Roscosmos,Kazakhstan,48.019573,66.923684,2017,Success
347,ILS,Kazakhstan,48.019573,66.923684,2017,Success
348,ISRO,India,20.593684,78.96288,2017,Success
349,SpaceX,USA,37.09024,-95.712891,2017,Success
350,Arianespace,France,46.227638,2.213749,2017,Success
351,MHI,Japan,36.204824,138.252924,2017,Success
352,VKS RF,Russia,61.52401,105.318756,2017,Success
353,Rocket Lab,New Zealand,-40.900557,174.885971,2017,Failure
354,Arianespace,France,46.227638,2.213749,2017,Success
355,SpaceX,USA,37.09024,-95.712891,2017,Success
356,ISRO,India,20.593684,78.96288,2017,Success
357,Arianespace,France,46.227638,2.213749,2017,Success
358,SpaceX,USA,37.09024,-95.712891,2017,Success
359,CASC,China,35.86166,104.195397,2017,Success
360,Roscosmos,Kazakhstan,48.019573,66.923684,2017,Success
361,ULA,USA,37.09024,-95.712891,2017,Success
362,CASC,China,35.86166,104.195397,2017,Success
363,SpaceX,USA,37.09024,-95.712891,2017,Success
364,ULA,USA,37.09024,-95.712891,2017,Success
365,MHI,Japan,36.204824,138.252924,2017,Success
366,SpaceX,USA,37.09024,-95.712891,2017,Success
367,Arianespace,France,46.227638,2.213749,2017,Success
368,CASIC,China,35.86166,104.195397,2017,Success
369,ULA,USA,37.09024,-95.712891,2017,Success
370,Roscosmos,Kazakhstan,48.019573,66.923684,2017,Success
371,SpaceX,USA,37.09024,-95.712891,2017,Success
372,ISRO,India,20.593684,78.96288,2017,Success
373,Arianespace,France,46.227638,2.213749,2017,Success
374,Arianespace,France,46.227638,2.213749,2017,Success
375,MHI,Japan,36.204824,138.252924,2017,Success
376,ULA,USA,37.09024,-95.712891,2017,Success
377,JAXA,Japan,36.204824,138.252924,2017,Failure
378,SpaceX,USA,37.09024,-95.712891,2017,Success
379,ExPace,China,35.86166,104.195397,2017,Success
380,CASC,China,35.86166,104.195397,2017,Success
381,CASC,China,35.86166,104.195397,2016,Partial Failure
382,Arianespace,France,46.227638,2.213749,2016,Success
383,CASC,China,35.86166,104.195397,2016,Success
384,JAXA,Japan,36.204824,138.252924,2016,Success
385,ULA,USA,37.09024,-95.712891,2016,Success
386,Northrop,USA,37.09024,-95.712891,2016,Success
387,CASC,China,35.86166,104.195397,2016,Success
388,MHI,Japan,36.204824,138.252924,2016,Success
389,ULA,USA,37.09024,-95.712891,2016,Success
390,ISRO,India,20.593684,78.96288,2016,Success
391,Arianespace,France,46.227638,2.213749,2016,Success
392,Roscosmos,Kazakhstan,48.019573,66.923684,2016,Failure
393,CASC,China,35.86166,104.195397,2016,Success
394,ULA,USA,37.09024,-95.712891,2016,Success
395,Roscosmos,Kazakhstan,48.019573,66.923684,2016,Success
396,Arianespace,France,46.227638,2.213749,2016,Success
397,CASC,China,35.86166,104.195397,2016,Success
398,ULA,USA,37.09024,-95.712891,2016,Success
399,CASC,China,35.86166,104.195397,2016,Success
400,CASC,China,35.86166,104.195397,2016,Success
401,MHI,Japan,36.204824,138.252924,2016,Success
402,Roscosmos,Kazakhstan,48.019573,66.923684,2016,Success
403,Northrop,USA,37.09024,-95.712891,2016,Success
404,CASC,China,35.86166,104.195397,2016,Success
405,Blue Origin,USA,37.09024,-95.712891,2016,Success
406,Arianespace,France,46.227638,2.213749,2016,Success
407,ISRO,India,20.593684,78.96288,2016,Success
408,Arianespace,France,46.227638,2.213749,2016,Success
409,CASC,China,35.86166,104.195397,2016,Success
410,IAI,Israel,31.046051,34.851612,2016,Success
411,ULA,USA,37.09024,-95.712891,2016,Success
412,ISRO,India,20.593684,78.96288,2016,Success
413,SpaceX,USA,37.09024,-95.712891,2016,Prelaunch Failure
414,CASC,China,35.86166,104.195397,2016,Failure
415,Arianespace,France,46.227638,2.213749,2016,Success
416,ULA,USA,37.09024,-95.712891,2016,Success
417,CASC,China,35.86166,104.195397,2016,Success
418,SpaceX,USA,37.09024,-95.712891,2016,Success
419,CASC,China,35.86166,104.195397,2016,Success
420,CASC,China,35.86166,104.195397,2016,Success
421,ULA,USA,37.09024,-95.712891,2016,Success
422,SpaceX,USA,37.09024,-95.712891,2016,Success
423,Roscosmos,Kazakhstan,48.019573,66.923684,2016,Success
424,Roscosmos,Kazakhstan,48.019573,66.923684,2016,Success
425,CASC,China,35.86166,104.195397,2016,Success
426,CASC,China,35.86166,104.195397,2016,Success
427,ULA,USA,37.09024,-95.712891,2016,Success
428,ISRO,India,20.593684,78.96288,2016,Success
429,Blue Origin,USA,37.09024,-95.712891,2016,Success
430,Arianespace,France,46.227638,2.213749,2016,Success
431,SpaceX,USA,37.09024,-95.712891,2016,Success
432,CASC,China,35.86166,104.195397,2016,Success
433,ULA,USA,37.09024,-95.712891,2016,Success
434,ILS,Kazakhstan,48.019573,66.923684,2016,Success
435,VKS RF,Russia,61.52401,105.318756,2016,Success
436,CASC,China,35.86166,104.195397,2016,Success
437,VKS RF,Russia,61.52401,105.318756,2016,Success
438,SpaceX,USA,37.09024,-95.712891,2016,Success
439,Arianespace,France,46.227638,2.213749,2016,Success
440,CASC,China,35.86166,104.195397,2016,Success
441,SpaceX,USA,37.09024,-95.712891,2016,Success
442,ISRO,India,20.593684,78.96288,2016,Success
443,Roscosmos,Russia,61.52401,105.318756,2016,Success
444,Arianespace,France,46.227638,2.213749,2016,Success
445,SpaceX,USA,37.09024,-95.712891,2016,Success
446,CASC,China,35.86166,104.195397,2016,Success
447,Blue Origin,USA,37.09024,-95.712891,2016,Success
448,Roscosmos,Kazakhstan,48.019573,66.923684,2016,Success
449,CASC,China,35.86166,104.195397,2016,Success
450,VKS RF,Russia,61.52401,105.318756,2016,Success
451,ULA,USA,37.09024,-95.712891,2016,Success
452,Roscosmos,Kazakhstan,48.019573,66.923684,2016,Success
453,Roscosmos,Kazakhstan,48.019573,66.923684,2016,Success
454,Roscosmos,Kazakhstan,48.019573,66.923684,2016,Success
455,ISRO,India,20.593684,78.96288,2016,Success
456,Arianespace,France,46.227638,2.213749,2016,Success
457,SpaceX,USA,37.09024,-95.712891,2016,Success
458,MHI,Japan,36.204824,138.252924,2016,Success
459,Eurockot,Russia,61.52401,105.318756,2016,Success
460,ULA,USA,37.09024,-95.712891,2016,Success
461,KCST,North Korea,40.339852,127.510093,2016,Success
462,VKS RF,Russia,61.52401,105.318756,2016,Success
463,ULA,USA,37.09024,-95.712891,2016,Success
464,CASC,China,35.86166,104.195397,2016,Success
465,ILS,Kazakhstan,48.019573,66.923684,2016,Success
466,Arianespace,France,46.227638,2.213749,2016,Success
467,Blue Origin,USA,37.09024,-95.712891,2016,Success
468,ISRO,India,20.593684,78.96288,2016,Success
469,SpaceX,USA,37.09024,-95.712891,2016,Success
470,CASC,China,35.86166,104.195397,2016,Success
471,SpaceX,USA,37.09024,-95.712891,2015,Success
472,Arianespace,France,46.227638,2.213749,2015,Success
473,ISRO,India,20.593684,78.96288,2015,Success
474,Roscosmos,Kazakhstan,48.019573,66.923684,2015,Success
475,ULA,USA,37.09024,-95.712891,2015,Success
476,VKS RF,Russia,61.52401,105.318756,2015,Partial Failure
477,Arianespace,France,46.227638,2.213749,2015,Success
478,MHI,Japan,36.204824,138.252924,2015,Success
479,Blue Origin,USA,37.09024,-95.712891,2015,Success
480,Arianespace,France,46.227638,2.213749,2015,Success
481,Sandia,Pacific Missile Range Facility,,,2015,Failure
482,ULA,USA,37.09024,-95.712891,2015,Success
483,ULA,USA,37.09024,-95.712891,2015,Success
484,ULA,USA,37.09024,-95.712891,2015,Success
485,Arianespace,France,46.227638,2.213749,2015,Success
486,ISRO,India,20.593684,78.96288,2015,Success
487,CASC,China,35.86166,104.195397,2015,Success
488,VKS RF,Russia,61.52401,105.318756,2015,Success
489,CASC,China,35.86166,104.195397,2015,Success
490,Arianespace,France,46.227638,2.213749,2015,Success
491,ULA,USA,37.09024,-95.712891,2015,Success
492,ISRO,India,20.593684,78.96288,2015,Success
493,Arianespace,France,46.227638,2.213749,2015,Success
494,MHI,Japan,36.204824,138.252924,2015,Success
495,ULA,USA,37.09024,-95.712891,2015,Success
496,Arianespace,France,46.227638,2.213749,2015,Success
497,ULA,USA,37.09024,-95.712891,2015,Success
498,ISRO,India,20.593684,78.96288,2015,Success
499,SpaceX,USA,37.09024,-95.712891,2015,Failure
500,Arianespace,France,46.227638,2.213749,2015,Success
501,Arianespace,France,46.227638,2.213749,2015,Success
502,ULA,USA,37.09024,-95.712891,2015,Success
503,Blue Origin,USA,37.09024,-95.712891,2015,Success
504,SpaceX,USA,37.09024,-95.712891,2015,Success
505,Arianespace,France,46.227638,2.213749,2015,Success
506,SpaceX,USA,37.09024,-95.712891,2015,Success
507,VKS RF,Russia,61.52401,105.318756,2015,Success
508,ISRO,India,20.593684,78.96288,2015,Success
509,Arianespace,France,46.227638,2.213749,2015,Success
510,MHI,Japan,36.204824,138.252924,2015,Success
511,Kosmotras,Russia,61.52401,105.318756,2015,Success
512,ULA,USA,37.09024,-95.712891,2015,Success
513,ULA,USA,37.09024,-95.712891,2015,Success
514,SpaceX,USA,37.09024,-95.712891,2015,Success
