ID,Organisation,Location,Detail,Rocket_Status,Price(USDbillion),Mission_Status,New_Date,Year,Months,Country,Latitude,Longitude
48,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",Ariane 5 ECA | JCSAT-17 & GEO-KOMPSAT 2B,StatusActive,$200.00 ,Success,2/18/2020,2020,February,France,46.227638,2.213749
49,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",Falcon 9 Block 5 | Starlink V1 L4,StatusActive,$50.00 ,Success,2/17/2020,2020,February,USA,37.09024,-95.712891
50,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",Antares 230+ | CRS NG-13,StatusActive,$85.00 ,Success,2/15/2020,2020,February,USA,37.09024,-95.712891
51,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",Atlas V 411 | Solar Orbiter,StatusActive,$115.00 ,Success,2/10/2020,2020,February,USA,37.09024,-95.712891
52,ISA,"Imam Khomeini Spaceport, Semnan Space Center, Iran",Simorgh | Zafar 1,StatusActive,,Failure,2/9/2020,2020,February,Iran,32.427908,53.688046
53,MHI,"LA-Y1, Tanegashima Space Center, Japan",H-IIA 202 | IGS-Optical 7,StatusActive,$90.00 ,Success,2/9/2020,2020,February,Japan,36.204824,138.252924
54,Arianespace,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Soyuz 2.1b/Fregat | OneWeb #2,StatusActive,$48.50 ,Success,2/6/2020,2020,February,Kazakhstan,48.019573,66.923684
55,Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",Electron/Curie | Birds of a Feather / NROL-151,StatusActive,$7.50 ,Success,1/31/2020,2020,January,New Zealand,-40.900557,174.885971
56,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",Falcon 9 Block 5 | Starlink V1 L3,StatusActive,$50.00 ,Success,1/29/2020,2020,January,USA,37.09024,-95.712891
57,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",Falcon 9 Block 5 | Crew Dragon Inflight Abort Test,StatusActive,$50.00 ,Success,1/19/2020,2020,January,USA,37.09024,-95.712891
58,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",Ariane 5 ECA | Eutelsat Konnect BB4A & GSAT-30,StatusActive,$200.00 ,Success,1/16/2020,2020,January,France,46.227638,2.213749
59,ExPace,"Site 95, Jiuquan Satellite Launch Center, China",Kuaizhou 1A | Yinhe-1,StatusActive,,Success,1/16/2020,2020,January,China,35.86166,104.195397
60,CASC,"LC-9, Taiyuan Satellite Launch Center, China",Long March 2D | Jilin-1 Wideband 01 & ??uSat-7/8,StatusActive,$29.75 ,Success,1/15/2020,2020,January,China,35.86166,104.195397
61,CASC,"LC-2, Xichang Satellite Launch Center, China",Long March 3B/E | TJSW-5,StatusActive,$29.15 ,Success,1/7/2020,2020,January,China,35.86166,104.195397
62,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",Falcon 9 Block 5 | Starlink V1 L2,StatusActive,$50.00 ,Success,1/7/2020,2020,January,USA,37.09024,-95.712891
